SeqName	GC	Length
RegSeq1	0.368983957219251	1309
RegSeq2	0.366576819407008	371
RegSeq3	0.310699588477366	1458
RegSeq4	0.353476821192053	1208
RegSeq5	0.352548036758563	1197
RegSeq6	0.331980519480519	1232
RegSeq7	0.382899628252788	538
RegSeq8	0.392561983471074	484
RegSeq9	0.302222222222222	225
RegSeq10	0.292096219931271	291
RegSeq11	0.359154929577465	142
RegSeq12	0.29	400
RegSeq13	0.260869565217391	184
RegSeq14	0.373820754716981	848
RegSeq15	0.345794392523364	321
RegSeq16	0.280898876404494	89
RegSeq17	0.378378378378378	185
RegSeq18	0.294964028776978	139
RegSeq19	0.3	190
RegSeq20	0.362903225806452	124
RegSeq21	0.319018404907975	163
RegSeq22	0.393518518518519	216
RegSeq23	0.387755102040816	196
RegSeq24	0.391791044776119	268
RegSeq25	0.280575539568345	278
RegSeq26	0.419753086419753	1215
RegSeq27	0.368375325803649	1151
RegSeq28	0.359929078014184	1128
RegSeq29	0.308	750
RegSeq30	0.265217391304348	230
RegSeq31	0.411149825783972	287
RegSeq32	0.28695652173913	115
RegSeq33	0.414285714285714	630
RegSeq34	0.291666666666667	120
RegSeq35	0.319298245614035	285
RegSeq36	0.358744394618834	223
RegSeq37	0.296296296296296	108
RegSeq38	0.31937984496124	645
RegSeq39	0.323232323232323	198
RegSeq40	0.270588235294118	170
RegSeq41	0.330855018587361	538
RegSeq42	0.292740046838407	427
RegSeq43	0.339759036144578	415
RegSeq44	0.373040752351097	319
RegSeq45	0.334128878281623	419
RegSeq46	0.425101214574899	247
RegSeq47	0.421538461538462	325
RegSeq48	0.28169014084507	213
RegSeq49	0.329985652797704	697
RegSeq50	0.314332247557003	614
RegSeq51	0.234042553191489	141
RegSeq52	0.318339100346021	289
RegSeq53	0.394833948339483	271
RegSeq54	0.418502202643172	454
RegSeq55	0.336842105263158	190
RegSeq56	0.223404255319149	94
RegSeq57	0.333333333333333	207
RegSeq58	0.327814569536424	302
RegSeq59	0.273743016759777	179
RegSeq60	0.353057199211045	507
RegSeq61	0.389380530973451	113
RegSeq62	0.372262773722628	137
RegSeq63	0.27906976744186	258
RegSeq64	0.356598984771574	788
RegSeq65	0.357231149567367	809
RegSeq66	0.226415094339623	106
RegSeq67	0.34412955465587	247
RegSeq68	0.296520423600605	661
RegSeq69	0.28643216080402	199
RegSeq70	0.325342465753425	292
RegSeq71	0.349854227405248	343
RegSeq72	0.375358166189112	349
RegSeq73	0.297385620915033	306
RegSeq74	0.347107438016529	121
RegSeq75	0.321917808219178	438
RegSeq76	0.375770020533881	487
RegSeq77	0.321428571428571	112
