GeneName	EarlyExp	EstExp	LateExp	minEarly_gb	maxEarly_gb	meanEarly_gb	minEst_gb	maxEst_gb	meanEst_gb	minLate_gb	maxLate_gb	meanLate_gb	minEarly_prom	maxEarly_prom	meanEarly_prom	minEst_prom	maxEst_prom	meanEst_prom	minLate_prom	maxLate_prom	meanLate_prom	Strand	NoClExp	Cluster(exp)	Color	EarlyP-val	EstP-val	LateP-val
Ibsp	-3.9649	-4.1315	-0.4076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	3	EarlyVLowEstVLowLateLow	Orange	0.00005	0.00005	0.17125
Fgfr3	-2.7858	-2.389	-2.2727	0.478333	0.490446	0.4843895	0.370732	0.397727	0.3842295	0.441536	0.470886	0.456211	0.478333	0.487062	0.4826975	0.370732	0.41954	0.395136	0.441536	0.546448	0.493992	+	4	AllVLow	Yellow	0.00005	0.00005	0.00005
Myo1g	0.579	1.0387	1.8506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	15	AllMildUp	SeaBlue	0.24705	0.0034	0.0006
Slc39a4	1.5806	2.4547	2.0916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	15	AllMildUp	SeaBlue	1	0.00125	1
Ninl	0.7991	0.8274	1.5873	0.333333	0.531306	0.4323195	0.442244	1	0.721122	0.4	0.622449	0.5112245	0.333333	0.4	0.3666665	0.594595	1	0.7972975	0.4	0.423077	0.4115385	-	15	AllMildUp	SeaBlue	0.00365	0.00235	0.00005
Sned1	-1.0144	-1.617	0.3961	0.222222	0.522248	0.372235	0.465696	0.6	0.532848	0.210526	0.574074	0.3923	0.222222	0.558621	0.3904215	0.307692	0.6	0.453846	0.210526	0.48	0.345263	+	8	EarlyLowEstVLowLateLow	LightGreenUp	0.0187	0.00005	0.20975
Ano5	-1.7955	0.13	-1.9443	0.422222	0.777778	0.589669	0.333333	0.5	0.433438	0.428571	0.587755	0.5205936667	0.569007	0.569007	0.569007	0.466981	0.466981	0.466981	0.587755	0.587755	0.587755	+	7	EarlyLowEstNLateLow	LightGreen	0.00005	1	0.00005
Ucma	-1.5414	0.6078	-2.0109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	7	EarlyLowEstNLateLow	LightGreen	0.22305	0.3421	0.0002
Adamts7	1.5928	1.7401	2.0828	0.411765	0.55814	0.4849525	0.208333	0.418605	0.313469	0.595238	0.615385	0.6053115	0.411765	0.553333	0.482549	0.208333	0.462687	0.33551	0.555085	0.615385	0.585235	+	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Bmp2	1.3181	3.6212	1.9195	0.529412	0.706897	0.635883	0.307692	0.526316	0.4145382	0.444444	0.8	0.572831	0.529915	0.706897	0.634493	0.338462	0.526316	0.4521936667	0.530726	0.8	0.6599496667	+	16	AllVUp	DarkPurple	0.02445	0.00005	0.0001
Tmem200a	0.3462	1.6805	0.6956	0.384615	0.523881	0.4561653333	0.285714	0.75	0.5070736667	0.481481	0.552688	0.5113896667	0.46	0.46	0.46	0.285714	0.285714	0.285714	0.481481	0.481481	0.481481	-	12	EarlyNEstUpLateN	LightBlue	0.22195	0.00005	0.01165
Mc5r	1.4625	2.8587	2.1707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	16	AllVUp	DarkPurple	0.00165	0.00005	0.00005
Aldh1a2	1.0329	0.8449	2.6303	0.552339	0.727273	0.639806	0.419444	0.439024	0.429234	0.488889	0.634615	0.561752	0.474964	0.727273	0.6011185	0.439024	0.448687	0.4438555	0.549708	0.634615	0.5921615	+	15	AllMildUp	SeaBlue	0.00005	0.00005	0.00005
Gjb2	0.1807	2.7316	0.6822	0.5125	0.540541	0.5265205	0.494253	0.5	0.4971265	0.416667	0.632	0.5243335	0.530997	0.540541	0.535769	0.497268	0.5	0.498634	0.416667	0.546392	0.4815295	-	12	EarlyNEstUpLateN	LightBlue	0.56995	0.00005	0.0252
Gbx2	-0.1712	-0.7124	2.2485	0.521739	0.550505	0.536411	0.398031	0.538462	0.4896338	0.454545	0.637138	0.5590374	0.521739	0.57002	0.5458795	0.518293	0.538462	0.5283775	0.454545	0.657841	0.556193	-	10	EarlyNEstNLateUp	Petrol	0.73695	0.0764	0.00025
Apba2	-0.3648	-0.4406	1.6252	0.365385	0.730769	0.512384	0.384615	0.607273	0.531891875	0.431267	0.8	0.564781625	0.357143	0.730769	0.543956	0.347826	0.384615	0.3662205	0.375	0.8	0.5875	+	10	EarlyNEstNLateUp	Petrol	0.44295	0.34555	0.00235
Ggt5	-1.7571	-2.0226	-0.1166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	6	AllLow	VeryLightGreen	0.00005	0.00005	0.5362
Elovl7	0.6906	-0.2795	1.6598	0.582609	0.6	0.5913045	0.366812	0.6	0.483406	0.428571	0.484099	0.456335	0.6	0.6875	0.64375	0.6	0.75	0.675	0.325581	0.428571	0.377076	+	10	EarlyNEstNLateUp	Petrol	0.1	0.3557	0.00005
Tmem26	-1.7292	-1.1244	-0.7998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	6	AllLow	VeryLightGreen	0.00005	0.0001	0.0026
Plac8	1.4336	1.7362	2.6922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	15	AllMildUp	SeaBlue	0.00155	0.00005	0.00005
Arc	-0.4379	3.2119	-0.3088	0.524892	0.655172	0.590032	0.459538	0.709677	0.5846075	0.488889	0.525481	0.507185	0.472727	0.655172	0.5639495	0.3	0.709677	0.5048385	0.235294	0.488889	0.3620915	-	13	EarlyNEstUpLateLow	Blue	0.14575	0.00005	0.15255
Enpp2	2.5717	2.6515	3.3669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	16	AllVUp	DarkPurple	0.00005	0.00005	0.00005
Dpep2	1.0501	1.3021	1.5926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	15	AllMildUp	SeaBlue	0.04545	0.0003	0.00195
Gprc5c	-0.8917	-1.6143	-0.4607	0.347826	0.503145	0.4254855	0.522222	0.525	0.523611	0.435897	0.552632	0.4942645	0.275862	0.347826	0.311844	0.525	0.529412	0.527206	0.435897	0.45614	0.4460185	+	8	EarlyLowEstVLowLateLow	LightGreenUp	0.08525	0.0021	0.3706
